#skill								TUD					type側			
No	Code	Sort	大分類	Code	Sort	小分類	対象外	TUDでの連携案	大分類	中分類	小分類	メモ	スキルカテゴリ	スキル大分類	中分類	小分類
130		0		130	0	Objective-C	対象外	×			Objective-C		ITエンジニア関連職種	開発環境	言語	Objective-C
131		0		131	0	OCaml	対象外	×			OCaml		ITエンジニア関連職種	開発環境	言語	OCaml
132		0		132	0	Perl	対象外	×			Perl		ITエンジニア関連職種	開発環境	言語	Perl
133	Grp1	133	技術系（システム・ネットワーク）	133	133	PHP		◯	技術系（システム・ネットワーク）	プログラミング	PHP		ITエンジニア関連職種	開発環境	言語	PHP
134		0		134	0	PL/SQL	対象外	×			PL/SQL		ITエンジニア関連職種	開発環境	言語	PL/SQL
135		0		135	0	Processing	対象外	×			Processing		ITエンジニア関連職種	開発環境	言語	Processing
136	Grp1	136	技術系（システム・ネットワーク）	136	136	Python		◯	技術系（システム・ネットワーク）	プログラミング	Python		ITエンジニア関連職種	開発環境	言語	Python
137	Grp1	137	技術系（システム・ネットワーク）	137	137	R		◯	技術系（システム・ネットワーク）	プログラミング	R		ITエンジニア関連職種	開発環境	言語	R
138	Grp1	138	技術系（システム・ネットワーク）	138	138	Ruby		◯	技術系（システム・ネットワーク）	プログラミング	Ruby		ITエンジニア関連職種	開発環境	言語	Ruby
139		0		139	0	Rust	対象外	×			Rust		ITエンジニア関連職種	開発環境	言語	Rust
140		0		140	0	Sass	対象外	×			Sass		ITエンジニア関連職種	開発環境	言語	Sass
141		0		141	0	Scala	対象外	×			Scala		ITエンジニア関連職種	開発環境	言語	Scala
142		0		142	0	shell script	対象外	×			shell script		ITエンジニア関連職種	開発環境	言語	shell script
143	Grp1	143	技術系（システム・ネットワーク）	143	143	SQL		◯	技術系（システム・ネットワーク）	プログラミング	SQL		ITエンジニア関連職種	開発環境	言語	SQL
144	Grp1	144	技術系（システム・ネットワーク）	144	144	Swift		◯	技術系（システム・ネットワーク）	プログラミング	Swift		ITエンジニア関連職種	開発環境	言語	Swift
145		0		145	0	TypeScript	対象外	×			TypeScript		ITエンジニア関連職種	開発環境	言語	TypeScript
146	Grp1	146	技術系（システム・ネットワーク）	146	146	Unity		◯	技術系（システム・ネットワーク）	プログラミング	Unity		ITエンジニア関連職種	開発環境	言語	Unity
147	Grp1	147	技術系（システム・ネットワーク）	147	147	VBA		◯	技術系（システム・ネットワーク）	プログラミング	VBA		ITエンジニア関連職種	開発環境	言語	VBA
148	Grp1	148	技術系（システム・ネットワーク）	148	148	Visual Basic .NET		◯	技術系（システム・ネットワーク）	プログラミング	Visual Basic .NET		ITエンジニア関連職種	開発環境	言語	Visual Basic .NET
149		0		149	0	Visual C# .NET	対象外	×			Visual C# .NET		ITエンジニア関連職種	開発環境	言語	Visual C# .NET
150		0		150	0	Visual C++ .NET	対象外	×			Visual C++ .NET		ITエンジニア関連職種	開発環境	言語	Visual C++ .NET
151		0		151	0	XML	対象外	×			XML		ITエンジニア関連職種	開発環境	言語	XML
152		0		152	0	その他言語	対象外	×			その他言語		ITエンジニア関連職種	開発環境	言語	その他言語
153	Grp1	153	技術系（システム・ネットワーク）	153	153	.NET		◯	技術系（システム・ネットワーク）	フレームワーク・APIなど	.NET		ITエンジニア関連職種	開発環境	フレームワーク・APIなど	.NET
